POS_STACK_PENALTY;Each point of hull size above §Y$MAX$§W gives a penalty of §R$EACH$§W% on Positioning. This fleet has a total penalty of §R$TOTAL$§W%;;Jeder Punkt an Rumpfgröße über §Y$MAX$§W führt zu einem Malus von §R$EACH$§W% auf die Positionierung. Diese Flotte hat einen Gesamtmalus von §R$TOTAL$§W%;;;;;;;;;;;x
EFF_POS;Effective Positioning;;Effektive Positionierung;;;;;;;;;;;x
LEADER_POSITIONING;Positioning Bonus;;Positionierungsbonus;;;;;;;;;;;x
FLEET_POSITIONING;Effective Positioning of Fleet. A low percentage makes it less likely to hit the right targets. Individual ships may get higher positioning due to improved doctrines.;;Effektife Positionierung der Flotte. Ein geringer Prozentsatz verringert die Wahrscheindlichkeit, die korrekten Ziele zu treffen. Einzelne Schiffe können höhere Positionierung aufgrund von verbesserten Doktrinen erhalten.;;;;;;;;;;;x
UW_EDIT_THEATRE;Edit Theatre;;Frontabschnitt ändern;;;;;;;;;;;x
UW_EDIT_THEATRE_DRO;Select provinces that should belong to this theatre.;;Provinzen auswählen, die zu diesem Frontabschnitt gehören sollen.;;;;;;;;;;;x
STANCE_AIR_PREPARE;Air Prepare;;Luftvorbereitung;;;;;;;;;;;x
STANCE_AIR_PREPARE_DESC;Our air units will only rebase and reorganize in this stance.;;Unsere Lufteinheiten werden in dieser Haltung nur verlegt und reorganisiert.;;;;;;;;;;;x
STANCE_AIR_DEFEND;Air Defensive;;Luftverteidigung;;;;;;;;;;;x
STANCE_AIR_DEFEND_DESC;Our air units will rebase, reorganize, and perform intercept missions.;;Unsere Lufteinheiten werden verlegt, reorganisiert sowie Abfangmissionen fliegen.;;;;;;;;;;;x
STANCE_AIR_ATTACK;Air Offensive;;Luftoffensive;;;;;;;;;;;x
STANCE_AIR_ATTACK_DESC;Our air units will perform the full range of missions.;;Unsere Lufteinheiten werden alle Missionen fliegen.;;;;;;;;;;;x
STANCE_NAVAL_PREPARE;Naval Prepare;;Seevorbereitung;;;;;;;;;;;x
STANCE_NAVAL_PREPARE_DESC;Our fleets will only rebase and reorganize in this stance.;;Unsere Flotten werden in dieser Haltung nur verlegt und reorganisiert.;;;;;;;;;;;x
STANCE_NAVAL_DEFEND;Naval Defensive;;Seeverteidigung;;;;;;;;;;;x
STANCE_NAVAL_DEFEND_DESC;Our fleets will rebase, reorganize, and defend our coasts.;;Unsere Flotten werden verlegt, reorganisiert sowie unsere Küsten verteidigen.;;;;;;;;;;;x
STANCE_NAVAL_ATTACK;Naval Offensive;;Seeoffensive;;;;;;;;;;;x
STANCE_NAVAL_ATTACK_DESC;Our fleets will perform the full range of missions.;;Unsere Flotten werden alle Missionen ausführen.;;;;;;;;;;;x
ALLOW_HQ_REORG;Allow AI Unit Reorganization;;AI Einheitenreorganisation erlauben;;;;;;;;;;;x
LAST_BATTLE_WINNER_LOSSES_LESS;Winner Losses less than ;;Siegerverluste weniger als;;;;;;;;;;;x
LAST_BATTLE_WINNER_LOSSES_MORE;Winner Losses at least ;;Siegerverluste zumindest;;;;;;;;;;;x
LAST_BATTLE_LOSER_LOSSES_LESS;Loser Losses less than ;;Verliererverluste weniger als;;;;;;;;;;;x
LAST_BATTLE_LOSER_LOSSES_MORE;Loser Losses at least ;;Verliererverluste zumindest;;;;;;;;;;;x
